scheme_name,slug,details,benefits,eligibility,application,documents,level,schemeCategory,tags,income_max,category,disability_required,education_level,course,cgpa_min,benefit_type,benefit_amount,state,gender
Kanya Saksharta Protsahan Yojana (For Scheduled Caste Girls),kspyscg,"The ""Kanya Saksharta Protsahan Yojana"" scheme was launched by the Scheduled Caste Welfare Department, Government of Madhya Pradesh, and implemented by the School Education Department since 2014-15. The objective of the scheme is to encourage children from poor Scheduled Caste families to pursue education and provide them with financial assistance. Under this scheme, Scheduled Caste girls who pass the Class 10th and enroll in the Class 11th at a government or recognized institution and study regularly are given an incentive of ₹3,000/- per year.","Under this scheme, all Scheduled Caste girl students who have passed Class 10 and are entering Class 11 will receive an incentive of ₹3,000/- per year. Note: The incentive amount will be paid into the bank accounts of the girl students.",The applicant should be a girl student. The girl student should be a native of Madhya Pradesh. The girl student should belong to the Scheduled Caste category. All Scheduled Caste girl students who have passed Class 10 and are entering Class 11 are eligible for the scheme. The parents or guardians of the applicant should not be income taxpayers. The girl student should be pursuing her education continuously. The girl student should be enrolled in a government or recognized government school/institution and attend regularly.,"To avail of the benefits under this scheme, eligible students can contact the Principal of their respective schools/institutions. Note: The profile of the students is entered on the education portal https://shikshaportal.mp.gov.in/ by the teacher of the educational institution as per the record/certificate provided by the student.",1.	Aadhaar Card 2.	Passport-size photograph 3.	Samagra ID 4.	Caste certificate 5.	Bank account details/bank passbook 6.	Income certificate/Guardians should not be income taxpayers. 7.	Domicile certificate of Madhya Pradesh 8.	Previous class passing marksheet 9.	Other necessary documents if required,State,"Education & Learning, Women and Child","Kanya, Scheduled Caste, Girl Student, Financial Assistance",,SC,False,School,,,incentive,3000.0,Madhya Pradesh,Female
Kanyashree Prakalpa,wbkanyashree,"Kanyashree Prakalpa seeks to improve the status and well-being of girls, specifically those from socio-economically disadvantaged families through Conditional Cash Transfers by: ﻿ Incentivizing them to continue in education for a longer period, and complete secondary or higher secondary education, or equivalent in technical or vocational steams, thereby giving them a better footing in both the economic and social spheres. ﻿ Disincentivizing marriage till at least the age of 18, the legal age of marriage, thereby reducing the risks of early pregnancies, associated risks of maternal and child mortality, and other debilitating health conditions, including that malnutrition. ﻿ It was also decided that the Scheme should confer more than just monetary support; it should be a means of financial inclusion and a tool of empowerment for adolescent girls. The scheme's benefits are therefore paid directly to bank accounts in the girls' names, leaving the decision of utilizing the money in their hands. ﻿ To reinforce the positive impact of increased education and delayed marriages, the scheme also works to enhance the social power and self-esteem of girls through a targeted behavior change communication strategy. The communication strategy not only builds awareness of the scheme, but includes adolescent-friendly approaches like events, competitions, and Kanyashree clubs, and the endorsement of strong women figures as role models to promote social and psychological empowerment. ﻿ As more and more girls remain in school, it is envisaged that they will use the opportunity to gain skills and knowledge to help them become economically independent. Even if girls do get married soon after they turn 18, it is expected that their education and enhanced social and emotional development will give them a better foundation for their adult lives. And over time, as entire generations of women enter marriages only after they have some degree of economic independence, it is expected that the practice of child marriage will be completely eradicated. Women will attain their right to health, education, and socio-economic equality. ﻿ The main objective of the scheme is to prevent child marriage and promote education among girls. It also aims to improve the health and nutrition of girls and empower them by building their skills and capacities. ﻿ The scheme is implemented through a network of school teachers, community workers, and government officials. The scheme has been recognized as a best practice in girl-child empowerment by the United Nations. ﻿ Overall, the Kanyashree Prakalpa scheme has been successful in promoting the education and well-being of girls in West Bengal and has been replicated in other parts of the country.","The scheme offers two types of benefits - annual scholarships and one-time grants: ﻿ Annual scholarships: Girls who are studying in classes 8 to 12 in government-aided or recognized schools can apply for a yearly scholarship of Rs. 750. The scholarship is renewable every year, subject to the girl's continued enrollment and performance. ﻿ One-time grants: Girls who have completed 18 years of age and are unmarried can apply for a one-time grant of Rs. 25,000. The grant is provided to support the girl's higher education or vocational training. ﻿","The Kanyashree Prakalpa Scheme is a social welfare scheme launched by the Government of West Bengal aimed at improving the status and well-being of girls from socio-economically disadvantaged families in the state. Here is a detailed description of the eligibility criteria for the scheme: ﻿ Age limit: Girls between the ages of 13 and 18 years are eligible for the scheme. Girls who have already turned 18 years of age are eligible to apply for the one-time grant under the scheme. ﻿ Annual income limit: The scheme applies to girls from families with an annual income of up to Rs. 1.2 lakhs. The income of the girl's parents or guardians will be taken into consideration while determining eligibility for the scheme. ﻿ Educational criteria: Girls who are studying in classes 8 to 12 in government-aided or recognized schools are eligible to apply for the annual scholarship provided under the scheme. ﻿ Marital status: Unmarried Girls are eligible to apply for the one-time grant provided under the scheme. Girls who are already married are not eligible for the scheme. ﻿ Citizenship: The scheme applies only to girls who are residents of West Bengal and studying in schools or colleges in the state. ﻿ It is important to note that the scheme is targeted towards girls from economically disadvantaged backgrounds, and therefore, strict eligibility criteria have been put in place to ensure that the benefits reach the intended beneficiaries.","The application process for the Kanyashree Prakalpa Scheme of West Bengal can be completed in a few steps. Here's a brief overview of the application process: ﻿ Eligibility check: Girls who wish to apply for the scheme must first ensure that they meet the eligibility criteria, including age, income, and educational qualifications. ﻿ Obtain the application form: The application form for the scheme can be obtained/downloaded online from the official website of the Kanyashree Prakalpa Scheme or can be collected from the Schools or Block Development Officer's office. (Application Form for One-Time Grant) ﻿ Fill in the application form: The application form must be filled in accurately and completely, providing all the required details, including personal information, family income details, educational qualifications, etc. ﻿ Attach supporting documents: The applicant must attach supporting documents such as an income certificate, age proof, and educational certificates, among others, as per the instructions given in the application form. ﻿ Submit the application & apply: The completed application form along with the supporting documents must be submitted to the school or college authorities or the Block Development Officer's office. ﻿ Verification and approval: The application will be verified by the authorities, and if found eligible, the girl will receive the benefits under the scheme. ﻿ It is important to note that the application process may vary slightly depending on the specific guidelines issued by the government from time to time. The application is free of cost, and girls are encouraged to apply for the scheme to benefit from the various benefits it offers.",Document Link ﻿ ﻿ ﻿ ﻿,State,"Social welfare & Empowerment, Education & Learning, Women and Child","Kanyashree Prakalpa, Empowerment Of Girls, Girls' Education, Child Marriage Prevention, Scholarship, Grants For Higher Education, Vocational Training, Socio-economically Disadvantaged Families, Government Of West Bengal",120000.0,,False,School,,,scholarship,,West Bengal,Female
Kasturba Gandhi Special Term Deposit Receipt Scheme,kgsfdrs,"The ""Kasturba Gandhi Special Term Deposit Receipt Scheme"" was launched by the Department of Education, Government of Rajasthan. Under this scheme, girls who complete Class 8 from Kasturba Gandhi Residential Girls' Schools and continue their regular studies in government schools are eligible for financial support. Those who secure at least 50% marks in Class 10 and enroll in Class 11 will be awarded a Special Term Deposit Receipt (STDR) of ₹2,000/- with a maturity period of five years. Similarly, girls who achieve a minimum of 50% marks in Class 12 and enroll in the first year of a graduation course will receive an STDR of ₹4,000/- with a maturity period of three years.","Monetary Benefits: A Special Term Deposit Receipt (STDR) of ₹2,000/- for girl students enrolled in Class 11. A Special Term Deposit Receipt (STDR) of ₹4,000/- for girl students pursuing a graduation course. Mode of Disbursement: STDRs (Special Term Deposit Receipts) in the name of the student. Validity: An STDR of ₹2,000/- is valid for 5 years. An STDR of ₹4,000/- is valid for 3 years.",General Eligibility The applicant should be a native of Rajasthan state. The applicant should be a girl student. The applicant should have passed the 8 th class from a Kasturba Gandhi Residential Girls School in Rajasthan. Eligibility Criteria for Class 10 th Students The applicant should have passed the 10 th class with a minimum of 50% marks while studying in a government school. The applicant should be enrolled in the 11 th class in a government school. Eligibility Criteria for Class 12 th Students The applicant should have passed class 12 th with at least 50% marks from a government school The applicant should be enrolled in the first year of a recognized undergraduate course.,"Application Process: Step 1: To avail of the benefits of the scheme, the applicant needs to contact their respective school. Step 2: Eligible students are identified by the head of their institution. Step 3: Submit copies of all the mandatory documents (self-attested, if required) to the respective school. Step 4: The school will visit the Shala Darpan, Rajasthan Portal. Step 5: Using the school's login credentials (Login ID and Password), the school will fill and submit the application form. Post-Application Process: Step 1: The filled applications are forwarded to the District Education Officer (DEO), Primary/Secondary Education. Step 2: The DEO compiles and forwards all verified applications to the Directorate of Secondary Education, Bikaner, Rajasthan.",Aadhaar Card or Jan Aadhaar Card of the student Marksheet Copy Certificate of Regular Study Any Other Document if Required,State,"Education & Learning, Women and Child","Term Deposit, Girl Student, Residential School, Kasturba Gandhi",,,False,UG,,50.0,other,4000.0,Rajasthan,Female
Kishore Vaigyanik Protsahan Yojana,kvpy,"The ""Kishore Vaigyanik Protsahan Yojana (KVPY)"" is a National Program of Fellowship in Basic Sciences which is initiated and funded by the Department of Science and Technology, Government of India, to attract exceptionally motivated students to pursue basic science courses and research careers in science. Under this scheme, students are encouraged in science research from school level to postgraduate level. Objective: Identify students with talent and aptitude for research. Help them realize their academic potential. Encourage them to take up research careers in science. Ensure the growth of the best scientific minds for research and development in the country. Streams under KVPY: KVPY exam is conducted for various streams: Stream SA: This is for those students who are studying in class 11 with Science and who have interest in Science. Stream SX: It is for students who are pursuing class 12 science and have interest in pursuing science research at the graduate level. Stream SB: It is for students who are studying in the first year of graduation (B.Sc./B.S./B.Math./B.Stat./Int. M.Sc.) and want to pursue a career in science. KVPY Exam Format: The entrance examination of KVPY consists of two stages: Aptitude Test: This exam is conducted online and questions are asked based on the subjects of Physics, Chemistry, Mathematics, and Biology. It consists of objective type questions. Interview (no longer applicable): Earlier, students were called for interview after the qualifying exam but now the examination process includes only aptitude test.","Scholarships and Awards: Under this scheme, scholarships and grants are provided to students, offering financial assistance for studies ranging from undergraduate programs (such as B.Sc., B.S., B.Stat., B.Math., Int. M.Sc., M.S.) to postgraduate programs (such as M.Sc. and M.S.). For school students (11th & 12th): Scholarship of ₹5,000/- per month and contingency grant of ₹20,000/- per year. For undergraduate and postgraduate students: Scholarship of ₹7,000/- per month and contingency grant of ₹28,000/- per year. For Masters students: Scholarship of ₹7,000/- per month and contingency grant of ₹28,000/- per year. Note 1: Apart from this scholarship, KVPY scholars are also given opportunities to study and do research in various research institutes, universities and laboratories. Note 2: KVPY scholars get opportunities to participate in research work in the field of science and technology. Note 3: Scholars get opportunities to attend various workshops, seminars and conferences, which help in their development. Note 4: KVPY exam provides students a path to build a promising career in science and research, and it gives them the opportunity to study in the premier science institutes of India.",Eligibility for Stream SA: The student should have passed the 10 th class with a minimum of 75% marks (65% for SC/ST/PwD). The student should be enrolled in the 12 th class with the science stream. Eligibility for Stream SX: The student should have passed the 12 th class with a minimum of 75% (65% for SC/ST/PwD). The student should be enrolled in higher education with science subject. Eligibility for Stream SB: The student should have passed the 12 th class with a minimum of 75% (65% for SC/ST/PwD). The applicant should be enrolled in the first year of Graduation with science subject.,"Registration Process: Step 1: Visit the official website: KVPY Official Website . Step 2: Fill in personal details such as name, date of birth, class details, stream, mobile number, email ID, and nationality. Step 3: Click on ""Submit"" to complete the registration process. Note: After registration, log out and re-login using the credentials sent to your email ID and mobile number to complete the application form. Login Process: Step 1 : Enter your ""User ID"" and ""Password."" Step 2: Click on ""Go to Application"" to proceed. Application Filling Process: Step 1: Provide details such as category, gender, contact information, and academic information. Step 2: Upload required documents like a passport-size photo, signature, and other necessary documents. Step 3: Fill in the captcha and proceed to pay the examination fee. Step 4: Upon successful submission, the applicant will receive a unique application ID. Aptitude Test: Appear for the computer-based test covering Physics, Chemistry, Mathematics, and Biology. Result Declaration:  Shortlisted candidates receive scholarships based on merit. Note 1: The application process starts in the month of July-August every year. Note 2: Examinations KVPY exam is conducted in the month of November. Note 3: The exam results and merit list are released in February or March. Students are awarded scholarships based on their performance.","Passport-size Photo Educational Qualification certificates Caste certificate, if applicable Bank account details Any Other Document If Required",Central,"Education & Learning, Science, IT & Communications","Scientist, Student, Science, Fellowship, Research",,,True,School,,75.0,scholarship,28000.0,,
LLB Internship Programme,llbip,"Ministry of Law and Justice under the Department of Justice (DoJ) has introduced an Internship Programme named ""LLB Internship Programme"" for young law students. The purpose of this Programme is to well acquaint young law students with the working of Department of Justice by giving training in the field of research & referencing work, in various specialized areas of justice delivery, such as:- Access to Justice (Tele-Law, Nyaya Bandhu, Legal Aid, Pro Bono Legal Services); e-Courts services; Fast Track Special Courts; National Mission for Justice Delivery & Legal Reforms and; CSS for Development of Infrastructure Facilities in the District and Subordinate Judiciary. Duration & Timings Duration of internship ordinarily remain for a period of one month (four weeks). Monthly internship shall start from 01.06.2023 onwards during the current financial year (FY 2024-25). The following three slots offered during the I st phase (Summer Programme): From 10.06.2024 to 09.07,2024 with last date for calling application on 05.06.2024. From 10.07.2024 to 09.08.2024 with last date for calling application on 05.07,2024. From 12.08.2024 to 11.09.2024 (10th and 11th August 2024 being Saturday and Sunday) with last date for calling application on 05.08.2024. Number of Interns The maximum number of interns to be allowed in a given monthly slots will be 10 candidates only subject to requirement of the Department. Placement Each selected intern shall be posted with an officer of the level of Deputy Secretary/Director/Joint Secretary/ or the O/o Secretary, Department of Justice, O/o the Minister of State, Law & Justice (Independent Charge) with the approval of the Competent Authority. Attendance For satisfactory completion inter-alia, 90% attendance is mandatory. This is a full-time internship to be attended physically. To seek any kind of clarifications Under Secretary (Admn.) at Tele-: 011-23072138. Email-: yadav.sanjay05@nic.in.","Honorarium The interns may be given an honorarium of ₹ 5,000/- on completion of their internship. Certificate On satisfactory completion of the internship, a Certificate of Internship shall be awarded.",Indian students who have completed : 2nd year of study and have written the examination to enter 3rd year or; studying in the 3rd year of three-year degree course or; the students studying in the 4th year who have written examination to enter 5th year or; studying in the 5th year of five-year degree course.,Visit the official website of Department of Justice - LLB Internship Programme Online Application page: https://dashboard.doj.gov.in/internship/ ﻿ ﻿ ﻿ Fill the complete application form by choosing the Month of Internship and uploading all the documents. Click Submit. Note: Last date for applications for the I st Phase (summer programme): The last date for application for the I st slot will be 05.06.2024. The last date for application for the 2nd slot will be 05.07.2024. The last date for application for the 3rd slot will 05.08.2024.,Aadhaar Card Passport size photograph Passing Certificate/Degree/Marksheet of Graduation/Post Graduation A Letter from the Supervisor/Head of the Department/Principal indicating their Status in the Institution No Objection Certificate (NOC) from the Institution Proof of Identity Proof of Address Identity Card/Proof of Enrolment into the Institute Details of the Bank Account (for the disbursement of stipend) File Format : File name should not contain any Special Characters. Only JPG and PNG formats are allowed for Photograph & Signature and PDF/JPG/PNG format for NOC. All Files should be less than 100 KB.,Central,"Education & Learning, Public Safety,Law & Justice, Skills & Employment","Internship, Law Students, Research, Access To Justice",,,False,,,,award,5000.0,,
Lakshadweep Scholarship Scheme,lkdss,"The Lakshadweep Scholarship Scheme an initiative by the Department of Education under the Ministry of Human Resource Development, aims to provide financial assistance to students from the Lakshadweep union territory. This program will alleviate financial burdens and empower students to pursue their educational aspirations.","﻿ Name of the Courses Scholarship Amount Pre-degree courses, Post Matric certificate courses, Post Matric Diploma courses, Degree Courses in Arts, Science, commerce, B.Ed., LLB etc. Rate of monthly scholarship ₹ 1,800/-, Rate of lump sum grant ₹ 1,500/- Post Graduate course in Arts, Science, Commerce, Law etc. Rate of monthly scholarship ₹ 2,100/-, Rate of lump sum grant ₹ 1,800/- MBBS, BDS, Engineering Degree, MBA, BVSC, BSC(Agriculture) etc. Rate of monthly scholarship ₹  2,100/-, Rate of lump sum grant ₹ 3,600/- Post Graduate Course in Medicine, Engineering and Veterinary Science, Agriculture etc. and Research Studies like Ph.D. Rate of monthly scholarship ₹ 3,000/- , Rate of lump sum grant ₹ 9,000/- High school courses or equivalent. ₹ 1,200/- per month Primary school courses (1 to VIII) ₹ 600/- per month Secondary school courses (VIII to X) ₹ 200/- per month Plus two students to whom course facilities are available in the island of which the student is native ₹ 450/- per month Students of Bitra Island studying in Secondary Std. in other Island ₹ 450/- per month Students of Plus 2 courses who belong to other islands than where the Institutions is situated and staying outside hostel for want of hostel accommodation ₹ 750/- per month Students of high school staying outside hostel for want of accommodation in the hostel ₹ 600/- per month ﻿ ﻿","Both parents and the student must be born in Lakshadweep or have one parent from Lakshadweep. The student and the Islander parent must reside in the Islands. Scholars cannot receive other scholarships, must surrender any awards, and repay funds received. Retention of concessions granted by the institution or administration is allowed. Scholars can pursue courses in Arts, Science, Engineering, Medicine, Agriculture, Law, or Commerce in recognized Indian institutions. Educational concessions on the mainland are only for studies not available in the Islands. Stipends may be granted or renewed for health reasons or disability.","The applications are invited on the National Scholarship Portal (NSP) ( https://scholarships.gov.in/ ) in the month of April every year. Registration for New Applicant Open the official NSP website and click on New Registration under Applicant Corner. Read the Instruction /Guidelines, provide the under taking by click on Check box and click on Continue. Start the registration by Mobile OTP and get the Registration ID. Submit required document. ﻿ Registered Applicant Open the official NSP website and click on Fresh Application under Applicant Corner Login with application ID & password. Select the Scholarship. Fill out the applicant form. Upload the required documents. Submit. For future reference, a system-generated registration number is sent to the students.",Domicile Certificate. Income Certificate. Educational Certificate. Caste Certificate. Aadhaar Card. Bank Passbook. Passport Size Photograph.,State,Education & Learning,"Education, Scholarship, Higher Education",,,True,,Engineering,,scholarship,9000.0,,
Land Ports Authority Of India (LPAI) Internship Scheme,lpaiis,"The Land Ports Authority of India (LPAI) is pleased to announce its annual internship program for the academic year 2025-26. This program provides a unique opportunity for students and research scholars from BBIN countries (Bhutan, India, Nepal, and Bangladesh) to gain practical experience in land port development, cross-border trade, passenger movement, and border issues. ﻿ Enhanced Collaboration: For the first time, the LPAI internship program extends invitations to talented students across the BBIN region, including India. This expansion promotes regional collaboration and facilitates the exchange of knowledge and perspectives on land port development within South Asia. Program Highlights: •	Open to Students from BBIN Countries: The program welcomes qualified students from India and other BBIN countries, fostering a diverse and enriching learning environment. •	Focus on Northeast India: We encourage applications from students interested in addressing land port development's unique challenges and opportunities in India's Northeast states. •	Diverse Research Methods: Interns can engage in various research methods, including policy-oriented research, social impact assessments, and economic impact assessments. Past intern reports serve as valuable resources for future exploration. •	Program Duration: The internship program lasts two months, with a possible extension of up to three months, subject to approval. ﻿ Objective and Purpose a)	The Land Ports Authority of India (LPAI), a statutory body under the Department of Border Management, Ministry of Home Affairs, was established by the Land Ports Authority of India Act 2010, effective March 1, 2012. Empowered by Section 11 of the Act, LPAI is tasked with developing, sanitizing, and managing facilities for cross-border passengers and goods at designated points along India's international borders. The Authority focuses on deploying systems that address security imperatives at the Land Ports while facilitating cross-border trade. b)	Acknowledging the growing interest and potential contributions from academic institutions and young scholars, the LPAI has expanded its Internship Program to include BBIN (Bhutan, Bangladesh, India, Nepal) countries. This expansion aims to foster regional collaboration and knowledge exchange by providing opportunities for talented individuals from BBIN nations to participate in LPAI projects. c)	LPAI engages with young scholars from India and neighboring BBIN countries through this extended internship program. This initiative is a two-way street, facilitating the exchange of diverse perspectives, fresh ideas, and research support from a broader regional context. It offers an avenue for young scholars to contribute to projects of national and regional significance, thereby enhancing mutual understanding and cooperation among BBIN nations while providing insights into governmental operations and projects of national importance. Duration The minimum duration of the internship shall be eight weeks, extendable up to three months, subject to the Authority's requirements and the Intern's availability. Extensions beyond three months will only be permitted in exceptional cases upon the recommendation of the relevant Authority and prior approval from the Secretary, LPAI Placement Interns will be assigned to the LPAI research team and/or the respective head of the relevant Division within the Authority. The internship does not constitute employment or guarantee future employment with the Authority Submission of Paper a)	The supervisor will create work plans and schedules that interns must consistently follow. b)	After their internship, interns must submit a report/paper detailing their internship activities to the Research team. The Member (Finance) /Director (Operations) at Headquarters will endorse this document to confirm successful internship completion. Code of Conduct The Intern appointed by the Authority must adhere to the Code of Conduct of LPAI, encompassing the following guidelines: a)	Upon joining, submit the Non-Disclosure Agreement (NDA) form to maintain the utmost secrecy, confidentiality, and privacy. b)	Interns are required to bring their laptops/tablets for work. c)	Adherence to the general rules and regulations applicable to Authority employees. d)	Compliance with the Authority's confidentiality protocol, refraining from disclosing confidential information about the Authority, its work, and its policies to any individual or organization. e)	Presentation of their work to academic bodies, seminars, and conferences with prior permission from the Authority while ensuring the confidentiality of Authority information. f)	    Clearly stating in any papers or documents written/published that the views expressed are personal and do not represent or reflect the views of the Authority. g)	Adherence to advice provided by the Authority regarding interactions with third parties. h)	Generally, interns may not interact with or represent the Authority to third parties unless specifically authorised based on their roles and responsibilities. i)	Interns are prohibited from interacting with or representing the Authority in the media (print and electronic). j)	Maintaining professional conduct in interactions with the Authority and the public. Termination a)	The Authority may discontinue the intern's engagement if it deems the intern's services are no longer required. b)	The Authority reserves the right to terminate the intern's services at any time and without providing reasons, with immediate effect. c)	If an intern chooses to end their engagement with the Authority, they should give a two-week prior notice. However, in some instances, particularly for interns intending to stay for more than two months, the Authority may specify a notice period of up to one month. The supervisor may occasionally waive the notice period depending on the intern's role. d)	Upon termination, the intern must return any documents, equipment, or assets provided by the Authority during their tenure, including any badges or ID cards issued to the intern. e)	If the Authority discovers that a terminated individual is still acting as if the Authority employs them, appropriate legal action may be taken against them.  Resolution of Implementation Challenges The Chairperson or their designated representative is empowered to address any obstacles hindering the implementation of these guidelines.","Certificate of Internship Upon completion of the internship and submission of the report, certificates will be issued to interns by Headquarters, provided the report is countersigned and accepted by the competent authority.","Indian students from recognized universities in India or abroad who have attained a minimum of 60% marks in their most recent degree or certificate examination and fall under one of the following categories: •	Completion of education under the 10+2+3 schooling pattern, indicating completing 15 years of formal education. Or •	Completion of a Polytechnic Diploma/Degree. Or •	Pursuing the 4th year in the Engineering stream under the 10+2+4 pattern of education. Or •	Pursuing MBA/PGDBM from premier institutes. Or •	Pursuing the 4th or 5th year in the integrated degree course or dual degree under the 10+2+5 pattern of education. Or •	Completion of the 2nd year of Engineering or Science course from any IIT or NIT. Or •	Pursuing M. Tech/M.Eng./MCA from a prestigious institute. Or •	Completion of the 2nd year in the law degree from a prestigious Law Institute/University. ﻿ NOTE 1: Qualifications may be relaxed in deserving cases based on the Authority's requirements, as recommended by the Member (Finance), LPAI, and subject to prior approval from the Chairman, LPAI.  NOTE 2 : Meeting the minimum qualifications above does not guarantee an internship at LPAI. Preference will be given to candidates with exposure in the intended internship area, a solid academic background, and higher capability per the organization's needs. Additionally, students from the Northeast region and wards of stakeholders deployed with LPAI will be given preference.","To apply, interested and eligible students should submit their applications, along with their CV, areas of interest for work, and two references, using the designated application form. The candidate's educational institution must sponsor these applications. Applications can be submitted on the Authority's website or through https://www.myscheme.gov.in/. The Authority may also announce the invitation for intern applications on its website. Furthermore, regional offices/headquarters can identify interns for specific areas based on inquiries from academic institutions. Students from BBIN countries are encouraged to follow the same application procedure, and the Authority may extend the application process to academic institutions within the BBIN region to facilitate broader participation. ﻿ NOTE 1: These applications need to be sponsored by the institution of the candidate seeking an internship. NOTE 2: Integrated Check Posts (ICPs)/ HQrs can also identify interns for specific areas based on enquiry from academic institutions. Selection Process (a)   Following the initial eligibility assessment, the applications of shortlisted candidates will be presented to the selection committee for further consideration. b)	The Selection Committee will be formed with the approval of the Secretary, LPAI. c)	The selection committee may conduct personal or telephonic interviews if necessary. Candidates attending personal interviews will not receive any TA/DA reimbursement. d)	Any requests for relaxation will be submitted to the Secretary, LPAI, for approval. ﻿ SELECTION PROCEDURE ﻿ a)	Following the initial eligibility assessment, the applications of shortlisted candidates will be presented to the selection committee for further consideration. b)	The Selection Committee will be formed with the approval of the Member (Finance), LPAI. c)	The selection committee may conduct personal or telephonic interviews if necessary. Candidates attending personal interviews will not receive any TA/DA reimbursement. d)	Any requests for relaxation will be submitted to the Member (Finance), LPAI, for approval. ﻿ APPLICATION DEADLINE: ﻿ Qualified applicants are invited to submit their applications, CVs, preferred areas of research interest, and two references by May 10, 2025, to dir.opr-lpai@gov.in. We encourage you to share this announcement with students in your institution who might be interested in this program. The LPAI internship program offers students and research scholars a rewarding opportunity to gain valuable experience and contribute meaningfully to land port development. We look forward to receiving applications from enthusiastic and motivated individuals across the region.",Aadhaar Card Passport size photograph Passing Certificate / Degree / Marksheet of Graduation / Post Graduation A Letter from the Supervisor / Head of the Department / Principal indicating their Status in the Institution No Objection Certificate (NOC) from the Institution Proof of Identity Proof of Address Identity Card / Proof of Enrollment into the Institute,Central,Education & Learning,"Internship, Student, Education, Institution, Remuneration",,,False,Diploma,Engineering,60.0,internship,,,
Laptop Scheme for Meritorious Students of SC/ST,lsmsscst,"The scheme ""Laptop Scheme for Meritorious Students of SC/ST"" by the Department of Information Technology, Electronics and Communication, Government of Goa aims to provide laptops to the meritorious students who were born in Goa. The students fulfilling the eligibility criteria may apply for the scheme by filling the prescribed online application form. The call for applications for the scheme will be announced by Info Tech Corporation of Goa Limited (ITG) every year.",Laptop is provided to the meritorious student.,"The applicant should be born in Goa. The applicant should be from a Scheduled Caste (SC) or Scheduled Tribe (ST) Community. The applicant should have passed the class 10th examination of the Goa Board in the first attempt. The applicant should have scored at least 70% (aggregate) marks in the class 10th examination of the Goa Board. The applicant should be schooling in the taluka in which he/she is considered meritorious. In the case of male students, he should have featured in the Top 5 among the Class 10th male students of his taluka. In the case of female students, she should have featured in the Top 5 among the Class 10th female students of her taluka.",The students fulfilling the eligibility criteria may apply for the scheme by filling out the prescribed online application form . The complete application will be reviewed by the scrutinizing committee of Info Tech Corporation of Goa Limited. * The applicants having their applications completed in all respects will only be considered for the scheme. * The start and last date for applying for the scheme will be announced by Info Tech Corporation of Goa Limited (ITG) every year. * For technical support write to topper.helpdesk@gmail.com or call 9607963089 / 9607963098 .,"Birth Certificate of the Applicant Issued by the Competent Authority of the Government of Goa. Mark Sheet Issued by the Goa Board of Secondary & Higher Secondary Education. Consent of the Parent in Prescribed Format. Photo ID Proof of Applicant (Aadhaar Card/School ID Card etc.). ID Proof of the Parent displaying signature (PAN Card/Passport/Driving License etc.). Attested Copy of Caste Certificate, issued by the Competent Authority of the Government of Goa.",State,Education & Learning,"Student, Education, School, Laptop, Scheduled Caste, Scheduled Tribe",,"SC,ST",False,School,,70.0,other,,Goa,Female
Laptop Supply Scheme,tsis,"""Laptop Supply Scheme"" by the School Education Department, Government of Madhya Pradesh provides ₹25,000/- for purchasing a laptop to students who score 80% or more in 12th Standard from a Government Higher Secondary School or a Madhya Pradesh Board (MP Board) affiliated school.","An amount of ₹25,000/- is provided for purchasing a laptop.",The applicant should be a student. The applicant should be a permanent resident of Madhya Pradesh. The applicant should have passed the 12th Standard with 80% or above marks.,The entire proceedings are prepared by the class teacher of the school and sent to the district education officer’s office.,Passport-size Photograph Aadhaar Card Passing Certificate / Marksheet Bank Account Details / Bank Passbook,State,Education & Learning,"Education, Student, School, Laptop",,,False,,,80.0,other,25000.0,Madhya Pradesh,
MANAGE Internship Programme,mip,"(MANAGE is an Autonomous Organization of the Ministry of Agriculture & Farmers Welfare, Govt. of India) MANAGE Internship Programme is open to students from the disciplines of Extension Education, Economics, Sociology, Psychology, MSW, Journalism, Communication, and Environmental Science. The internships are open year-round, and the duration ranges from 3 months upto 6 months. The interns are provided a stipend of upto ₹ 35,000/- per month. The applicants should be fluent in English and should have good writing skills. ﻿ Duration The internships are available for a duration of 3 months upto 6 months. ﻿ Availability The internships are open year-round.","Stipend For 3 months Internship Programme ₹ 10,000/- per month with free boarding and lodging. For 6 months Internship Programme ₹ 35,000/- per month.",The applicant should have completed/ongoing PhD or M.Sc in Extension Education/ Economics/ Sociology/ Psychology/ MSW/ Journalism/ Communication/ Environmental Science. The applicant should have secured an OGPA of a minimum of 8 out of 10 (minimum 80%). The applicant should have fluency in English. The applicant should have good writing skills.,"Interested candidate can email his/her CV along with the required documents (self-attested) to: saravananraj.manage@gmail.com (Dr. Saravanan Raj, Director, Agricultural Extension, MANAGE) ﻿",Curriculum Vitae (CV) Motivation Letter Recommendation Letter (from the Head of the Department/ Chairman of the Advisory Committee),Central,Education & Learning,"Internship, Student, Agriculture, Management, Environment",,,False,,,80.0,stipend,35000.0,,
